                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6302,                 7.6722,                0.72676,                 2.5533,                 1.5601,                0.63828,                0.77893,                0.70407,                0.48424,                0.00758,                0.00446,                  8e-05,                  1e-05,                 1.1345,                 7.1539,                0.70519,                 1.6349,                  1.197,             0.00054455,             0.00054455,             0.00054455
                      2,                 1.0401,                 5.8481,                0.67146,                 1.2837,                 1.1354,                0.90702,                0.84267,                0.94396,                0.70626,                 0.4007,                0.36863,                0.26945,                0.06992,                0.84565,                 4.8084,                0.58844,                 1.1366,                 1.0935,              0.0010639,              0.0010639,              0.0010639
                      3,                0.87905,                 4.9617,                0.56383,                  1.011,                 1.0595,                0.92618,                0.86153,                0.95621,                 0.7473,                0.46955,                0.40928,                0.31641,                0.10459,                0.79191,                 4.2703,                0.39577,                0.88465,                 1.1067,              0.0015466,              0.0015466,              0.0015466
                      4,                0.84026,                 4.5037,                0.46517,                0.90075,                 1.0554,                0.93892,                0.89183,                 0.9531,                0.78845,                0.51376,                0.45346,                0.33081,                0.12482,                0.70362,                 4.0925,                0.21226,                0.68646,                 1.0448,               0.001502,               0.001502,               0.001502
                      5,                 0.8128,                 4.1027,                0.41421,                0.81022,                 1.0482,                0.94625,                0.90807,                0.97476,                0.78125,                0.64922,                0.61004,                0.50388,                0.22364,                0.72912,                 3.4364,                0.16355,                0.62352,                 1.0699,               0.001447,               0.001447,               0.001447
                      6,                0.75955,                  3.745,                0.42071,                0.77648,                 1.0206,                 0.9273,                 0.9327,                0.96891,                0.79455,                0.67317,                0.67981,                0.61195,                0.32673,                0.68016,                  3.051,                0.11992,                0.63157,                 1.0488,              0.0013919,              0.0013919,              0.0013919
                      7,                0.70634,                 3.5353,                 0.3986,                0.70611,                 1.0027,                0.92872,                 0.9152,                0.96307,                0.78332,                0.69507,                0.66622,                0.60478,                0.35609,                0.75765,                 2.7161,                0.10516,                0.61424,                 1.0603,              0.0013369,              0.0013369,              0.0013369
                      8,                0.75099,                 3.4024,                0.37983,                0.70643,                 1.0095,                0.97136,                0.90323,                0.97861,                0.77676,                0.76493,                0.70963,                0.65021,                0.46173,                0.73706,                 2.2796,                0.09652,                 0.5631,                 1.0651,              0.0012819,              0.0012819,              0.0012819
                      9,                 0.7162,                 2.9424,                0.39988,                0.68769,                0.99582,                0.94903,                0.93858,                0.97086,                 0.7796,                0.76501,                0.73103,                 0.7043,                0.49286,                0.72524,                 2.1139,                0.10067,                0.56614,                 1.0358,              0.0012269,              0.0012269,              0.0012269
                     10,                0.70159,                 2.7829,                0.37487,                0.68717,                0.99028,                0.94855,                0.93325,                0.98161,                0.85707,                0.80137,                0.78136,                  0.732,                0.53892,                0.56021,                 1.7266,                0.09901,                0.47041,                0.98641,              0.0011719,              0.0011719,              0.0011719
                     11,                0.68003,                 2.3837,                0.36198,                0.63568,                0.97822,                0.97321,                0.92161,                0.98787,                0.84541,                0.80395,                0.76276,                0.75108,                0.57565,                0.57549,                  1.846,                 0.0914,                0.46648,                0.99778,              0.0011169,              0.0011169,              0.0011169
                     12,                0.65854,                 2.2457,                0.36313,                0.63205,                0.97483,                 0.9225,                 0.9529,                0.96781,                0.83994,                0.77786,                0.76667,                0.72421,                0.57292,                0.54735,                 1.6797,                0.09664,                0.48264,                0.97858,              0.0010619,              0.0010619,              0.0010619
                     13,                0.64623,                 2.1025,                 0.3578,                0.60656,                0.96624,                0.93716,                0.92427,                0.97945,                0.84738,                0.85228,                0.83601,                0.84675,                0.65122,                0.57905,                 1.2113,                0.09758,                 0.5083,                0.97715,              0.0010069,              0.0010069,              0.0010069
                     14,                 0.6654,                 1.7998,                0.34729,                 0.5822,                0.96332,                0.93625,                 0.9374,                 0.9726,                0.82599,                0.83018,                0.79937,                0.79343,                0.66095,                0.62377,                 1.3771,                0.09076,                0.48313,                0.99567,             0.00095186,             0.00095186,             0.00095186
                     15,                0.61494,                 1.6224,                0.34865,                0.56452,                0.94634,                0.93173,                 0.9486,                0.97381,                0.82964,                0.90616,                0.91225,                0.90997,                0.73965,                0.62207,                0.96904,                 0.0944,                0.45302,                0.99887,             0.00089685,             0.00089685,             0.00089685
                     16,                0.61253,                  1.608,                0.35339,                0.56294,                0.95608,                0.94564,                0.94704,                0.98368,                0.88491,                0.93389,                 0.9352,                0.95027,                0.81149,                0.46636,                0.74204,                0.08843,                0.42052,                0.94258,             0.00084184,             0.00084184,             0.00084184
                     17,                0.58437,                 1.4947,                0.33476,                0.55108,                0.93958,                0.96533,                0.96444,                 0.9881,                 0.8791,                0.92843,                0.92728,                0.93436,                0.78252,                0.50895,                0.87894,                0.09387,                0.39965,                0.95703,             0.00078682,             0.00078682,             0.00078682
                     18,                0.57708,                 1.5247,                0.34586,                0.54099,                0.94436,                0.95488,                0.95846,                0.98764,                0.89429,                0.94741,                0.95105,                 0.9756,                0.82613,                0.45688,                0.68009,                0.08676,                0.39143,                 0.9393,             0.00073181,             0.00073181,             0.00073181
