                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5558,                  6.774,                0.65761,                 2.1059,                  1.493,                0.72334,                0.81081,                0.86458,                0.62164,                0.34991,                0.40625,                0.26224,                0.05698,                0.93039,                  5.011,                0.52056,                0.92826,                 1.1944,             0.00041389,             0.00041389,             0.00041389
                      2,                  1.042,                 4.4551,                0.47173,                 1.1212,                 1.2132,                 0.8751,                0.84266,                0.91616,                0.68814,                0.71619,                0.68164,                0.64626,                0.27636,                0.86851,                 3.2104,                0.18676,                0.79637,                  1.151,             0.00080315,             0.00080315,             0.00080315
                      3,                0.99472,                 3.1971,                0.37788,                0.96539,                 1.1782,                0.86429,                0.81051,                0.88734,                  0.657,                0.77768,                0.72536,                0.72617,                0.36319,                0.88841,                 2.3097,                0.10266,                0.80991,                 1.1787,              0.0011649,              0.0011649,              0.0011649
                      4,                0.94118,                 2.4684,                0.34471,                0.88902,                 1.1562,                0.87284,                0.86402,                0.93031,                0.73135,                 0.8127,                 0.8082,                 0.8318,                0.57376,                0.76361,                 1.7804,                0.09503,                0.71464,                 1.0982,              0.0011263,              0.0011263,              0.0011263
                      5,                0.88136,                 2.0842,                0.33956,                0.80633,                 1.1138,                0.94009,                0.89727,                0.96019,                0.77896,                0.93062,                0.88367,                0.94351,                0.72407,                0.72794,                 1.0286,                 0.0931,                0.58813,                 1.0657,               0.001085,               0.001085,               0.001085
                      6,                0.84064,                 1.8308,                0.32686,                0.75635,                 1.0955,                0.90683,                0.88865,                0.94977,                0.76455,                0.88225,                0.86025,                0.90269,                0.66071,                0.73192,                 1.3225,                 0.0857,                 0.6271,                 1.0632,              0.0010438,              0.0010438,              0.0010438
                      7,                0.83247,                 1.6655,                 0.3022,                0.73828,                 1.0943,                0.91415,                0.90456,                0.96055,                0.79793,                0.90318,                0.89258,                0.94236,                0.78614,                0.65492,                0.89954,                0.07578,                0.56175,                 1.0278,              0.0010025,              0.0010025,              0.0010025
                      8,                 0.7724,                  1.505,                0.28358,                0.68526,                 1.0582,                0.95355,                0.90506,                  0.967,                0.81509,                0.94472,                0.89328,                0.95349,                0.79986,                0.60892,                0.83735,                0.06682,                0.51715,                 1.0116,             0.00096125,             0.00096125,             0.00096125
                      9,                0.76004,                   1.41,                0.26787,                0.65762,                 1.0521,                0.93251,                0.92619,                0.96177,                0.82701,                0.93096,                0.92412,                0.95696,                0.83526,                0.57214,                0.64634,                0.05817,                0.50297,                0.97921,                0.00092,                0.00092,                0.00092
                     10,                0.70602,                 1.3296,                0.24244,                0.61897,                 1.0314,                0.93521,                0.92618,                0.96677,                0.80747,                0.94291,                0.91496,                0.96234,                0.84281,                0.63942,                0.63123,                0.04973,                0.52126,                 1.0086,             0.00087875,             0.00087875,             0.00087875
                     11,                0.69506,                 1.2526,                0.23725,                0.61563,                 1.0221,                0.94822,                0.91829,                0.97152,                0.84297,                0.95124,                0.90697,                0.96144,                0.85431,                0.56926,                0.67803,                0.05224,                0.46356,                0.97752,              0.0008375,              0.0008375,              0.0008375
                     12,                0.66731,                  1.166,                0.23477,                0.59444,                 1.0081,                0.94962,                0.91417,                0.97282,                0.81191,                0.95191,                0.91164,                0.96845,                0.87022,                0.60225,                0.55617,                 0.0464,                0.47473,                0.99241,             0.00079625,             0.00079625,             0.00079625
                     13,                0.65112,                 1.1188,                0.22228,                0.57688,                0.99938,                0.95835,                0.92811,                0.97364,                0.84584,                0.95716,                 0.9269,                0.97165,                 0.8836,                0.55679,                0.51977,                0.04854,                0.43617,                0.96081,               0.000755,               0.000755,               0.000755
                     14,                 0.6315,                 1.0696,                0.22372,                0.55481,                 0.9884,                0.96859,                0.93461,                0.97762,                0.84546,                0.96798,                0.93401,                0.97374,                0.89527,                0.56723,                0.49464,                0.04494,                0.42883,                0.96057,             0.00071375,             0.00071375,             0.00071375
                     15,                0.62709,                 1.0993,                0.21796,                 0.5433,                 0.9844,                0.96744,                0.93235,                0.97719,                0.87112,                0.96729,                0.93161,                0.97561,                0.89703,                0.48714,                0.47267,                0.03657,                0.41201,                0.93732,              0.0006725,              0.0006725,              0.0006725
                     16,                0.61123,                0.99391,                0.21426,                 0.5366,                0.97908,                0.95411,                0.93658,                0.97722,                0.86635,                0.95222,                0.93483,                0.97408,                0.90497,                 0.4966,                0.43662,                0.04023,                0.41753,                0.93547,             0.00063125,             0.00063125,             0.00063125
                     17,                0.59283,                0.99234,                0.20643,                0.52656,                0.97231,                0.95604,                0.93308,                0.97803,                0.87457,                0.95502,                0.92801,                  0.972,                0.91573,                0.47727,                0.41298,                 0.0418,                0.39657,                0.93146,                0.00059,                0.00059,                0.00059
                     18,                0.58157,                0.92466,                0.20851,                0.50907,                0.96701,                0.97954,                 0.9271,                 0.9803,                0.89646,                 0.9799,                0.92635,                0.97826,                0.92456,                0.43548,                0.42336,                 0.0371,                0.37619,                0.91686,             0.00054875,             0.00054875,             0.00054875
