                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5014,                 6.5998,                0.60878,                 2.2761,                 1.5633,                0.82245,                0.79173,                0.85613,                0.65042,                0.42419,                 0.3724,                0.29867,                0.07283,                 0.8932,                 4.9275,                0.35772,                0.89844,                 1.1644,             0.00025548,             0.00025548,             0.00025548
                      2,                0.97262,                 4.5627,                 0.4345,                 1.1577,                 1.1834,                0.86644,                0.81611,                0.89792,                0.72183,                0.68513,                0.62598,                0.58108,                0.25529,                 0.7369,                 3.4703,                0.14321,                 0.7742,                 1.0854,             0.00049492,             0.00049492,             0.00049492
                      3,                0.92988,                 3.4828,                0.37955,                  1.005,                 1.1594,                 0.8773,                0.85817,                0.91162,                0.71451,                0.76871,                0.74056,                0.72564,                0.40405,                0.77675,                 2.5422,                0.10499,                0.73105,                 1.1017,             0.00071745,             0.00071745,             0.00071745
                      4,                0.88843,                 3.0032,                0.35377,                0.94171,                 1.1368,                 0.8924,                 0.8705,                0.92234,                0.75616,                 0.7889,                0.76354,                0.73465,                0.46258,                  0.691,                 2.3306,                0.10156,                 0.6602,                 1.0584,             0.00069287,             0.00069287,             0.00069287
                      5,                0.84197,                  2.786,                0.31889,                 0.8679,                 1.1133,                0.91548,                0.87938,                0.93245,                0.77627,                0.83309,                0.79201,                0.78708,                0.54753,                0.67319,                 1.9618,                0.08131,                 0.6241,                 1.0373,             0.00066749,             0.00066749,             0.00066749
                      6,                0.80786,                 2.5183,                0.29175,                0.81866,                 1.0979,                0.94252,                0.87833,                0.94281,                0.79999,                 0.8686,                0.80424,                0.81378,                0.60087,                0.61731,                 1.7938,                0.07049,                0.56439,                 1.0133,             0.00064212,             0.00064212,             0.00064212
                      7,                0.77481,                 2.4104,                0.27278,                0.78187,                 1.0763,                0.90415,                0.90277,                0.93986,                0.80396,                  0.843,                0.83433,                0.82728,                0.62311,                 0.5926,                 1.6389,                0.05934,                0.55004,                0.99787,             0.00061674,             0.00061674,             0.00061674
                      8,                0.76323,                 2.2311,                0.26027,                0.74279,                 1.0682,                0.94099,                0.91203,                0.95417,                0.83272,                0.87449,                0.84779,                0.84456,                0.65561,                0.55821,                 1.5575,                0.05103,                0.50694,                0.98076,             0.00059136,             0.00059136,             0.00059136
                      9,                0.73291,                 2.1508,                0.25474,                0.71906,                 1.0538,                0.93461,                0.90606,                0.94777,                0.83206,                0.88947,                0.86158,                0.87729,                0.66037,                 0.5271,                 1.4205,                0.04459,                0.50676,                0.96711,             0.00056598,             0.00056598,             0.00056598
                     10,                0.71561,                 1.9909,                 0.2472,                0.69831,                 1.0415,                0.95746,                0.90659,                0.95531,                0.83381,                0.92087,                0.87092,                0.88854,                0.71722,                0.54227,                 1.2275,                0.04283,                0.48747,                0.96896,             0.00054061,             0.00054061,             0.00054061
                     11,                0.68866,                  1.851,                0.24285,                0.67662,                 1.0338,                0.94652,                0.91052,                0.95482,                0.84447,                0.92474,                0.88808,                0.91038,                0.74352,                0.51906,                 1.0799,                0.04088,                0.46813,                 0.9607,             0.00051523,             0.00051523,             0.00051523
                     12,                0.67436,                 1.7524,                0.23523,                0.65454,                 1.0256,                0.94732,                0.90885,                0.95294,                0.84737,                0.92598,                0.88821,                  0.913,                0.75296,                0.50494,                  1.038,                0.03697,                 0.4762,                0.95423,             0.00048985,             0.00048985,             0.00048985
                     13,                0.66086,                 1.6336,                 0.2319,                0.63694,                  1.016,                0.94761,                0.91775,                 0.9559,                0.84829,                0.92945,                0.89994,                0.92196,                0.78463,                0.49354,                0.90206,                 0.0381,                0.44866,                0.94093,             0.00046448,             0.00046448,             0.00046448
