                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3787,                      0,                0.44306,                   2.57,                  1.322,                0.78122,                0.64908,                0.68714,                0.52225,                      0,                      0,                      0,                      0,                0.96316,                      0,                0.32617,                 2.2494,                 1.0997,             0.00054455,             0.00054455,             0.00054455
                      2,                  1.001,                      0,                0.07115,                 1.3572,                 1.1406,                0.76774,                0.77949,                0.80228,                 0.6218,                      0,                      0,                      0,                      0,                0.89504,                      0,                  0.075,                  1.393,                 1.0988,              0.0010639,              0.0010639,              0.0010639
                      3,                0.98894,                      0,                0.02414,                 1.1497,                 1.1088,                0.59241,                0.52875,                 0.5545,                0.34043,                      0,                      0,                      0,                      0,                 1.5314,                      0,                0.07989,                 1.9859,                 1.5285,              0.0015466,              0.0015466,              0.0015466
                      4,                0.91282,                      0,                0.01175,                0.96471,                 1.0837,                0.78372,                0.47741,                0.58612,                0.41863,                      0,                      0,                      0,                      0,                 1.3838,                      0,                  0.227,                 1.9382,                  1.423,               0.001502,               0.001502,               0.001502
                      5,                 0.8014,                      0,                0.00693,                0.82242,                 1.0298,                0.85205,                0.88871,                0.89626,                0.71103,                      0,                      0,                      0,                      0,                0.80522,                      0,                0.01758,                0.86784,                 1.0674,               0.001447,               0.001447,               0.001447
                      6,                0.81568,                      0,                0.00574,                0.77802,                 1.0325,                0.87715,                0.90952,                  0.933,                0.78176,                      0,                      0,                      0,                      0,                0.65659,                      0,                0.01056,                0.71541,                 1.0013,              0.0013919,              0.0013919,              0.0013919
                      7,                0.76543,                      0,                0.00316,                 0.7272,                 1.0132,                0.85558,                0.85313,                0.88541,                0.75287,                      0,                      0,                      0,                      0,                0.61871,                      0,                0.00633,                0.76211,                0.97635,              0.0013369,              0.0013369,              0.0013369
                      8,                0.74713,                      0,                0.00318,                0.69898,                 1.0119,                0.85132,                0.91476,                0.92281,                0.77356,                      0,                      0,                      0,                      0,                0.66402,                      0,                0.01126,                0.72444,                0.97577,              0.0012819,              0.0012819,              0.0012819
                      9,                0.72978,                      0,                0.00251,                 0.6784,                0.99134,                0.84559,                0.85199,                 0.8561,                0.71004,                      0,                      0,                      0,                      0,                0.69513,                      0,                0.00841,                0.81122,                 1.0024,              0.0012269,              0.0012269,              0.0012269
                     10,                0.67156,                      0,                0.00372,                0.64766,                 0.9775,                0.85065,                0.89021,                0.91823,                 0.7947,                      0,                      0,                      0,                      0,                0.58055,                      0,                0.00806,                0.66468,                0.94282,              0.0011719,              0.0011719,              0.0011719
