                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8406,                 6.0423,                0.67812,                 3.1056,                 1.8963,                0.68709,                0.62698,                0.68233,                0.26308,                0.55458,                0.51548,                0.49935,                0.14544,                 2.0753,                 3.6948,                0.60696,                 1.5027,                 1.4905,             0.00025462,             0.00025462,             0.00025462
                      2,                 1.8224,                 3.2397,                 0.4709,                 1.5423,                  1.295,                0.75369,                 0.7575,                0.81476,                0.40016,                0.64487,                0.69444,                0.69191,                0.26642,                 1.4959,                 2.3085,                0.27069,                  1.337,                 1.1965,              0.0004941,              0.0004941,              0.0004941
                      3,                 1.6335,                 2.6889,                0.25629,                 1.3268,                 1.2036,                0.80988,                0.77866,                0.87274,                0.45587,                0.64479,                 0.7716,                0.76707,                0.33452,                 1.5323,                 2.1973,                 0.1164,                 1.1427,                 1.2452,             0.00071665,             0.00071665,             0.00071665
                      4,                   1.58,                 2.4926,                0.18368,                 1.2584,                 1.1998,                 0.7978,                0.79541,                0.87774,                0.51839,                0.65342,                0.78527,                0.79259,                0.37144,                 1.2146,                  2.005,                0.07636,                 1.1304,                 1.1117,             0.00069287,             0.00069287,             0.00069287
                      5,                 1.4954,                 2.4366,                0.15905,                 1.2037,                 1.1525,                0.83852,                0.79982,                0.89526,                 0.4959,                0.67684,                0.74647,                0.79803,                0.38133,                 1.3337,                 1.9483,                0.05757,                 1.0876,                  1.149,             0.00066749,             0.00066749,             0.00066749
                      6,                 1.4169,                 2.3416,                0.13667,                 1.1262,                 1.1469,                0.84697,                 0.8254,                0.90925,                0.53456,                0.71734,                0.82981,                0.83386,                0.39031,                 1.2394,                 1.9509,                0.03436,                0.98195,                 1.1369,             0.00064212,             0.00064212,             0.00064212
                      7,                 1.3336,                 2.1976,                0.12602,                 1.0977,                 1.1015,                0.79401,                0.85317,                0.89694,                0.55767,                0.64141,                0.84788,                0.80483,                0.40458,                  1.128,                 1.7972,                0.02675,                 1.0422,                 1.0721,             0.00061674,             0.00061674,             0.00061674
                      8,                 1.3396,                 2.2089,                0.11223,                 1.0702,                 1.0999,                0.80101,                0.83377,                0.90278,                0.56849,                0.64143,                0.86917,                0.82797,                0.42696,                 1.1052,                 1.7653,                0.02229,                0.96851,                 1.0641,             0.00059136,             0.00059136,             0.00059136
                      9,                 1.2712,                  2.076,                0.10836,                 1.0338,                 1.0737,                0.87174,                0.79012,                0.90685,                0.56489,                0.72708,                0.75647,                0.83789,                0.43037,                 1.1397,                 1.7661,                 0.0215,                 1.0202,                 1.0861,             0.00056598,             0.00056598,             0.00056598
                     10,                 1.2503,                 2.0779,                0.10539,                 1.0216,                   1.07,                 0.8593,                0.84656,                0.90845,                0.57625,                0.69753,                0.81085,                0.81889,                0.41352,                 1.0276,                 1.7284,                0.01571,                0.99428,                  1.031,             0.00054061,             0.00054061,             0.00054061
                     11,                 1.2745,                 2.0596,                0.09603,                 1.0139,                 1.0712,                0.79998,                0.86231,                0.92061,                0.59481,                0.68277,                0.86772,                0.85005,                0.44297,                 1.0215,                 1.7198,                0.01663,                0.92817,                 1.0348,             0.00051523,             0.00051523,             0.00051523
                     12,                 1.2039,                 2.0148,                0.10099,                 1.0003,                 1.0463,                0.90983,                0.87346,                 0.9344,                0.59043,                0.70725,                0.82892,                0.84446,                0.43074,                 1.0596,                  1.721,                 0.0135,                0.93452,                 1.0464,             0.00048985,             0.00048985,             0.00048985
                     13,                 1.1679,                 1.9937,                0.09361,                0.97443,                 1.0321,                0.79719,                0.87522,                 0.9255,                0.60365,                0.68965,                0.85494,                0.85979,                0.45507,                  1.049,                 1.6998,                0.01347,                0.92595,                 1.0457,             0.00046448,             0.00046448,             0.00046448
