                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5157,                  7.434,                0.70913,                  2.351,                 1.3959,                0.90374,                0.93827,                 0.9627,                0.76355,                0.05801,                0.05761,                0.00523,                0.00064,                0.78387,                 6.9001,                0.66668,                 1.0442,                0.96235,             0.00040833,             0.00040833,             0.00040833
                      2,                0.85762,                 4.9438,                 0.6786,                 1.0631,                 1.0265,                0.95951,                0.97514,                 0.9888,                0.77179,                0.70877,                0.71605,                0.58225,                0.14057,                0.86938,                  3.957,                0.59337,                0.67743,                 1.0244,             0.00079778,             0.00079778,             0.00079778
                      3,                0.78807,                 3.7795,                0.56691,                0.88297,                0.99639,                0.93615,                0.96534,                0.98379,                0.84742,                0.59385,                0.60905,                0.40796,                0.08248,                0.59613,                 3.4874,                0.34761,                0.63417,                0.93364,              0.0011597,              0.0011597,              0.0011597
                      4,                0.75585,                 2.9828,                0.48395,                0.80602,                0.98631,                0.95142,                 0.9672,                0.98307,                0.88582,                0.94737,                0.96309,                0.98095,                0.38868,                0.52399,                   2.03,                0.25886,                0.54316,                0.89312,              0.0011263,              0.0011263,              0.0011263
                      5,                0.69405,                 2.1508,                0.42913,                0.70907,                 0.9608,                0.96582,                0.97531,                0.98109,                0.86684,                0.96582,                0.97531,                0.98109,                0.60606,                0.51743,                 1.2092,                0.17371,                0.56087,                0.89261,               0.001085,               0.001085,               0.001085
                      6,                0.63086,                 1.7165,                0.42885,                0.63875,                 0.9349,                0.97199,                0.97531,                 0.9874,                0.86974,                0.97199,                0.97531,                 0.9874,                0.75696,                0.57027,                0.74045,                0.14157,                0.53682,                0.90463,              0.0010438,              0.0010438,              0.0010438
                      7,                 0.6048,                  1.518,                0.41432,                0.59603,                0.93028,                0.99165,                0.97761,                0.99371,                0.90933,                0.99165,                0.97761,                0.99368,                0.87382,                0.41623,                0.55456,                0.13745,                0.38913,                0.86844,              0.0010025,              0.0010025,              0.0010025
                      8,                0.60043,                 1.4187,                0.41361,                0.57303,                 0.9264,                0.98236,                0.97531,                0.99208,                0.91245,                0.98236,                0.97531,                0.99208,                0.82876,                0.41867,                 0.5363,                0.11823,                0.36518,                0.86897,             0.00096125,             0.00096125,             0.00096125
                      9,                0.54833,                 1.1719,                0.39043,                0.53591,                0.89911,                0.99578,                0.97218,                0.99423,                0.92062,                0.99578,                0.97218,                0.99423,                0.93643,                0.36334,                0.39782,                0.11789,                0.34683,                0.85801,                0.00092,                0.00092,                0.00092
                     10,                0.52514,                  1.194,                 0.3939,                0.52345,                0.90559,                0.98716,                0.97942,                0.99295,                0.93745,                0.98588,                0.97531,                 0.9924,                 0.9404,                0.36424,                0.35962,                0.10532,                0.35903,                 0.8498,             0.00087875,             0.00087875,             0.00087875
