                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7813,                 6.8198,                0.56765,                 2.2274,                 1.4515,                0.74638,                0.72162,                0.75558,                0.53372,                0.20251,                0.21444,                 0.1191,                0.02484,                 1.3311,                 4.8592,                0.28431,                 1.1205,                 1.1595,             0.00020792,             0.00020792,             0.00020792
                      2,                 1.2912,                 4.9321,                0.29508,                 1.2003,                 1.1345,                0.79998,                0.78941,                0.83214,                0.61615,                0.33439,                0.33903,                0.23838,                0.07963,                 1.1061,                 4.1354,                0.07648,                 0.9552,                 1.0764,             0.00040251,             0.00040251,             0.00040251
                      3,                  1.216,                 4.3521,                 0.2304,                 1.0712,                 1.1007,                0.85377,                0.80431,                0.86331,                0.64673,                0.51629,                0.49583,                0.38954,                0.16119,                 1.1143,                 3.5189,                0.05237,                0.90928,                 1.0824,             0.00058336,             0.00058336,             0.00058336
                      4,                 1.1617,                 3.8248,                0.20315,                  1.011,                 1.0822,                 0.8661,                0.81543,                0.87903,                0.65291,                0.64249,                0.60318,                  0.562,                0.29893,                 1.0576,                 2.8404,                0.03974,                0.87131,                 1.0529,             0.00056313,             0.00056313,             0.00056313
                      5,                  1.123,                 3.3433,                0.18683,                0.94714,                  1.065,                0.88757,                0.82187,                0.88589,                0.68031,                0.70132,                0.64751,                0.63025,                0.38958,                0.99953,                 2.3318,                0.03439,                0.82554,                 1.0264,              0.0005425,              0.0005425,              0.0005425
                      6,                 1.0917,                 3.0129,                0.17958,                0.91133,                 1.0504,                 0.8917,                 0.8358,                0.89664,                0.69855,                0.71318,                0.67716,                0.65668,                 0.4356,                0.97857,                 2.1365,                0.03055,                0.78471,                 1.0152,             0.00052188,             0.00052188,             0.00052188
                      7,                 1.0572,                 2.7595,                 0.1748,                 0.8756,                 1.0369,                0.88623,                0.84177,                0.90239,                0.71189,                0.74598,                0.71449,                0.69598,                 0.4744,                0.90775,                 1.9723,                0.02901,                0.75773,                0.99387,             0.00050125,             0.00050125,             0.00050125
                      8,                 1.0335,                 2.6022,                0.16943,                 0.8521,                 1.0273,                0.88281,                0.85754,                0.90797,                0.71578,                0.78851,                0.74999,                0.73824,                0.51145,                0.95681,                  1.837,                0.02617,                0.73713,                 1.0059,             0.00048062,             0.00048062,             0.00048062
                      9,                 1.0085,                 2.4599,                0.16656,                0.83392,                 1.0181,                0.89924,                 0.8584,                0.91036,                0.72101,                0.82105,                0.76568,                0.77207,                0.56005,                0.89012,                 1.6265,                0.02461,                0.73336,                0.98628,                0.00046,                0.00046,                0.00046
                     10,                0.98768,                 2.3349,                0.16339,                0.81202,                 1.0113,                0.91347,                0.85716,                0.91835,                0.74051,                0.84354,                0.79384,                0.80668,                0.60877,                0.85848,                 1.4421,                0.02366,                0.69084,                0.97198,             0.00043937,             0.00043937,             0.00043937
                     11,                0.96918,                 2.2512,                 0.1589,                0.79437,                 1.0018,                0.90632,                0.86694,                0.91987,                0.73786,                0.84477,                 0.7995,                0.80893,                0.61665,                0.85347,                 1.4296,                0.01988,                0.68467,                0.96657,             0.00041875,             0.00041875,             0.00041875
                     12,                0.96048,                 2.1418,                0.15907,                0.77973,                0.99924,                0.91607,                0.87041,                0.92515,                 0.7574,                0.86053,                0.82062,                0.83363,                0.64386,                0.82958,                 1.3711,                0.01991,                0.66358,                0.96261,             0.00039813,             0.00039813,             0.00039813
                     13,                0.93883,                 2.0829,                0.15427,                0.76898,                0.99099,                0.93334,                 0.8633,                0.92472,                0.75833,                0.88384,                0.81875,                0.84442,                 0.6537,                0.80357,                 1.2897,                0.01841,                0.65254,                0.95302,              0.0003775,              0.0003775,              0.0003775
                     14,                0.92129,                 1.9965,                0.14871,                 0.7518,                0.98439,                0.89857,                 0.8785,                0.92395,                0.76106,                0.86191,                 0.8383,                0.85679,                0.67561,                0.79868,                 1.2419,                0.01745,                0.66029,                 0.9489,             0.00035687,             0.00035687,             0.00035687
